feature,status,dtype,n,missing_count,missing_rate,nonzero_count,nonzero_rate,fraud_when_nonzero,fraud_when_zero,fraud_rate_difference,odds_ratio_nonzero_vs_zero,univariate_auc,spearman_with_label,mean_value_fraud,mean_value_cleared,n_unique,all_zero
risk_score,ok,float64,5565,0,0.0,5565,1.0,0.8382749326145552,,,5.181010549694614,0.057567940931284985,-0.5643576047588611,0.4751318327974276,0.8812555555555556,99,False
strong_support_count,ok,int64,5565,0,0.0,3126,0.5617250673854447,0.8889955214331414,0.7732677326773267,0.11572778875581469,2.346781657631753,0.6414619506966773,0.19760312956111034,1.1961414790996785,0.6422222222222222,5,False
medium_support_count,ok,int64,5565,0,0.0,2912,0.5232704402515723,0.7321428571428571,0.9547681869581606,-0.22262532981530347,0.12995179141464655,0.25939633202334167,-0.3321656418935562,0.6889603429796356,1.6177777777777778,6,False
weak_support_count,ok,int64,5565,0,0.0,703,0.12632524707996406,0.7354196301564723,0.8531468531468531,-0.11772722299038085,0.47790619110043653,0.4537562224604025,-0.10229604968635748,0.18842443729903538,0.3211111111111111,3,False
strong_contradiction_count,ok,int64,5565,0,0.0,0,0.0,,0.8382749326145552,,0.19301253884899797,,,0.0,0.0,1,True
medium_contradiction_count,ok,int64,5565,0,0.0,1656,0.29757412398921834,1.0,0.7697620874904068,0.23023791250959325,991.3130088054494,0.677491961414791,0.28588591669886343,0.35498392282958197,0.0,2,False
weak_contradiction_count,ok,int64,5565,0,0.0,0,0.0,,0.8382749326145552,,0.19301253884899797,,,0.0,0.0,1,True
context_evidence_count,ok,int64,5565,0,0.0,5207,0.9356693620844564,0.8388707509122335,0.8296089385474861,0.009261812364747435,1.0757213427360224,0.4960712159104443,-0.005520686003883386,1.6184351554126473,1.6288888888888888,5,False
independent_evidence_count,ok,int64,5565,0,0.0,4629,0.8318059299191375,0.8219917908835601,0.9188034188034188,-0.09681162791985864,0.4103284472585466,0.3564618316065261,-0.19591974302005905,1.284673097534834,1.8,7,False
card_testing,ok,int64,5565,0,0.0,9,0.0016172506738544475,0.8888888888888888,0.8381929445644348,0.05069594432445401,1.0943997137233852,0.5003018935334048,0.005532590308599003,0.0017148981779206859,0.0011111111111111111,2,False
cnp,ok,int64,5565,0,0.0,1068,0.19191374663072777,0.74812734082397,0.8596842339337336,-0.11155689310976358,0.48452371555584134,0.43619328331546986,-0.11931537262952416,0.1712754555198285,0.29888888888888887,2,False
cnp_new_device,ok,int64,5565,0,0.0,524,0.09415992812219227,0.49427480916030536,0.8740329299742114,-0.3797581208139061,0.1409595865378636,0.3805376920328688,-0.30122012410093,0.05551982851018221,0.29444444444444445,2,False
account_takeover,ok,int64,5565,0,0.0,964,0.17322551662174304,0.7344398340248963,0.8600304281677896,-0.1255905941428933,0.4498362844009019,0.4336620221507681,-0.12908467029297577,0.1517684887459807,0.28444444444444444,2,False
out_of_region,ok,int64,5565,0,0.0,51,0.009164420485175202,0.9803921568627451,0.8369604642727603,0.14343169258998478,6.5611887480590765,0.5048035012504466,0.03712073045374142,0.010718113612004287,0.0011111111111111111,2,False
new_device,ok,int64,5565,0,0.0,1592,0.28607367475292006,0.5295226130653267,0.9619934558268312,-0.4324708427615045,0.044604491069040575,0.17424258663808503,-0.5308117992140626,0.1807073954983923,0.8322222222222222,2,False
proxy_network,ok,int64,5565,0,0.0,203,0.03647798742138365,0.6995073891625616,0.8435285341290564,-0.14402114496649476,0.43001722710937734,0.48133083244015723,-0.07333150601944434,0.030439442658092175,0.06777777777777778,2,False
channel_novelty,ok,int64,5565,0,0.0,465,0.08355795148247978,0.7784946236559139,0.8437254901960785,-0.06523086654016452,0.6490475957946823,0.4815773490532333,-0.04902500352319362,0.07759914255091103,0.11444444444444445,2,False
product_novelty,ok,int64,5565,0,0.0,703,0.12632524707996406,0.7354196301564723,0.8531468531468531,-0.11772722299038085,0.47790619110043653,0.4520793140407288,-0.10622211899391888,0.11082529474812433,0.20666666666666667,2,False
out_of_region_behavior,ok,int64,5565,0,0.0,51,0.009164420485175202,0.9803921568627451,0.8369604642727603,0.14343169258998478,6.5611887480590765,0.5048035012504466,0.03712073045374142,0.010718113612004287,0.0011111111111111111,2,False
repeated_historical_abuse,ok,int64,5565,0,0.0,2691,0.48355795148247976,0.944630248978075,0.7386917188587335,0.2059385301193415,6.018613965553493,0.6896766702393712,0.27950575903557756,0.5449088960342979,0.16555555555555557,2,False
shared_device_profile,ok,int64,5565,0,0.0,2597,0.4666666666666667,0.7420100115517906,0.9225067385444744,-0.18049672699268382,0.2419656901608884,0.3343158270811004,-0.24456267469240375,0.41307609860664524,0.7444444444444445,2,False
