variant,model,calibration,feature_count,roc_auc,pr_auc,brier,log_loss,ece_10,mean_probability,median_probability,min_probability,max_probability
baseline,logistic_regression,raw,21,0.9832094625215263,0.9982167161957337,0.03279213155044106,0.10615143553619288,0.020293161553678718,0.9116514271284936,0.9999872035603621,0.009751890050578648,0.9999999
baseline,logistic_regression,sigmoid_calibrated,21,0.9832094625215263,0.9982167161957337,0.03183603399742231,0.10163327631064072,0.020727857924334767,0.9076588771143181,0.9999103466706925,0.018533778047504324,0.9999984509199922
baseline,random_forest,raw,21,0.9866718027734976,0.9985674596274766,0.02652467446000672,0.09610914764729198,0.027240161570928685,0.8880226515842933,0.9918667101176294,0.0022196370013088237,0.9999833887043189
baseline,random_forest,sigmoid_calibrated,21,0.9866718027734976,0.9985674596274766,0.029140137436112833,0.09469591241460862,0.02218327736579357,0.910318331681252,0.9975223770396678,0.002822467052393415,0.9999970734345572
baseline,hist_gradient_boosting,raw,21,0.9871793709779751,0.9986544470514114,0.030558308931374446,0.09996469965467328,0.02405657738545389,0.9128568540177182,0.999877558564551,0.0028419822744613662,0.9999220352753264
baseline,hist_gradient_boosting,sigmoid_calibrated,21,0.9871793709779751,0.9986544470514114,0.02775064482774285,0.0880650667396886,0.01581551808914202,0.9064045125694297,0.9986008120172242,0.008555041919324326,0.9990074601684146
cleaned,logistic_regression,raw,18,0.9832185262394633,0.9982176333900886,0.03279200794829971,0.10613163448452816,0.020258159021574365,0.9116245021395509,0.9999869851939585,0.009813615683762886,0.9999999
cleaned,logistic_regression,sigmoid_calibrated,18,0.9832185262394633,0.9982176333900886,0.031846070059656555,0.10165744320204559,0.0214548784932745,0.9076733700203747,0.9999097594831112,0.018615293619106868,0.9999984666844133
cleaned,random_forest,raw,18,0.9871249886703526,0.9986270311640025,0.026471489132918313,0.09368296460309043,0.022091608197035324,0.8899971093223599,0.9947471952172502,0.0010311349764634795,0.9999999
cleaned,random_forest,sigmoid_calibrated,18,0.9871249886703526,0.9986270311640025,0.028924631999490455,0.09300917526655442,0.022423025034076147,0.9098975813183611,0.9978640602807379,0.001853799394230084,0.9999999
cleaned,hist_gradient_boosting,raw,18,0.9871793709779751,0.9986544470514114,0.030558308931374446,0.09996469965467328,0.02405657738545389,0.9128568540177182,0.999877558564551,0.0028419822744613662,0.9999220352753264
cleaned,hist_gradient_boosting,sigmoid_calibrated,18,0.9871793709779751,0.9986544470514114,0.02775064482774285,0.0880650667396886,0.01581551808914202,0.9064045125694297,0.9986008120172242,0.008555041919324326,0.9990074601684146
inverted_risk,logistic_regression,raw,18,0.9832185262394633,0.9982176333900886,0.03279200794829968,0.10613163448452803,0.02025815902157433,0.9116245021395508,0.9999869851939585,0.009813615683762853,0.9999999
